345, kiterunner, https://github.com/assetnote/kiterunner, "Contextual Content Discovery Tool", "", 2021-04-07 04:03:00 +0000 UTC
151, InScan, https://github.com/inbug-team/InScan, "边界打点后的自动化渗透工具", "", 2021-04-10 09:21:39 +0000 UTC
99, bfapi, https://github.com/zserge/bfapi, "Resilient, scalable Brainf*ck, in the spirit of modern systems design", "", 2021-04-08 21:40:43 +0000 UTC
86, wappalyzergo, https://github.com/projectdiscovery/wappalyzergo, "A high performance go implementation of Wappalyzer Technology Detection Library", "", 2021-04-06 09:54:00 +0000 UTC
73, squirrelbyte, https://github.com/adamlouis/squirrelbyte, "a tool for gathering & exploring data", "", 2021-04-10 20:51:50 +0000 UTC
69, rconn, https://github.com/jafarlihi/rconn, "rconn is a multiplatform program for creating generic reverse connections. Lets you consume services that are behind firewall or NAT without opening ports or port-forwarding.", "firewall-bypass,network-address-translation,port-forward,port-forwarding,reverse,reverse-connection,reverse-proxy,reverse-shell", 2021-04-10 20:44:37 +0000 UTC
36, go-mail, https://github.com/ainsleyclark/go-mail, "A cross platform mail driver for GoLang.", "golang,mail,mailgun,sendgrid,sparkpost", 2021-04-08 11:08:51 +0000 UTC
36, teams-cli, https://github.com/fossteams/teams-cli, "A CLI / TUI for Microsoft Teams", "cli,go,golang,microsoft,microsoft-teams,msteams,teams,teams-api,tui", 2021-04-08 10:22:33 +0000 UTC
35, gostackparse, https://github.com/DataDog/gostackparse, "Package gostackparse parses goroutines stack traces as produced by panic() or debug.Stack() at ~300 MiB/s.", "debugging,go,performance,stacktrace", 2021-04-07 11:01:28 +0000 UTC
29, protoscan, https://github.com/KathanP19/protoscan, "Prototype Pollution Scanner", "", 2021-04-10 04:11:43 +0000 UTC
28, go-project-template, https://github.com/eldonaldo/go-project-template, "Simple template suitable for building a webapp backend MVP written in go", "", 2021-04-07 19:56:39 +0000 UTC
